CustomerID,Age,Annual Income (k$),Spending Score (1-100),Purchase Amount ($),Number of Purchases,Category,Satisfaction Rating (1-5)
CUST-0098,58,54,36,281.8,15,Beauty,4
CUST-0099,46,68,82,504.62,16,Electronics,1
CUST-0100,32,36,96,497.55,24,Beauty,5
CUST-0101,62,65,24,245.52,13,Electronics,5
CUST-0102,18,136,23,363.84,11,Clothing,3
CUST-0103,42,25,62,353.25,21,Sports & Outdoors,5
CUST-0104,24,118,96,576.58,26,Home & Kitchen,5
CUST-0105,26,143,37,395.22,19,Beauty,5
CUST-0106,41,56,12,176.7,15,Sports & Outdoors,5
CUST-0107,18,43,55,309.23,12,Home & Kitchen,2
CUST-0108,61,112,13,297.87,10,Home & Kitchen,2
CUST-0109,25,65,23,216.08,12,Electronics,3
CUST-0110,41,114,89,596.75,14,Clothing,1
CUST-0111,28,118,99,592.19,20,Clothing,5
CUST-0112,68,135,30,380.67,12,Sports & Outdoors,1
CUST-0113,34,86,17,248.59,7,Clothing,1
CUST-0114,25,147,62,476.82,16,Beauty,3
CUST-0115,52,37,84,424.1,21,Clothing,5
CUST-0116,52,44,89,464.21,22,Sports & Outdoors,5
CUST-0117,50,73,86,484.37,21,Clothing,4
CUST-0118,22,77,13,174.62,10,Beauty,1
CUST-0119,59,86,59,454.24,14,Electronics,1
CUST-0120,56,123,19,309.33,10,Sports & Outdoors,2
CUST-0121,58,43,49,276.87,15,Electronics,4
CUST-0122,45,133,100,678.12,20,Electronics,2
CUST-0123,24,51,12,190.62,10,Electronics,2
CUST-0124,26,105,61,403.29,12,Home & Kitchen,2
CUST-0125,25,146,19,309.87,9,Home & Kitchen,3
CUST-0126,29,149,76,555.63,16,Electronics,3
CUST-0127,51,36,9,147.12,5,Sports & Outdoors,2
CUST-0128,50,123,71,522.98,16,Beauty,4
CUST-0129,65,62,28,277.91,6,Beauty,1
CUST-0130,40,58,78,449.59,16,Clothing,4
CUST-0131,41,45,95,518.9,21,Sports & Outdoors,5
CUST-0132,54,118,52,428.4,14,Home & Kitchen,3
CUST-0133,52,69,83,446.11,17,Electronics,1
CUST-0134,61,32,16,158.7,8,Clothing,1
CUST-0135,57,79,69,428.63,21,Beauty,5
CUST-0136,39,76,99,462.85,25,Home & Kitchen,5
CUST-0137,44,55,12,161.26,11,Home & Kitchen,2
CUST-0138,52,39,25,212.93,14,Electronics,3
CUST-0139,18,84,52,360.87,12,Beauty,3
CUST-0140,52,27,85,394.11,17,Sports & Outdoors,4
CUST-0141,54,134,100,658.34,18,Home & Kitchen,2
CUST-0142,64,111,53,390.4,13,Electronics,2
CUST-0143,31,117,23,334.25,7,Sports & Outdoors,2
CUST-0144,20,85,16,198.32,6,Beauty,2
CUST-0145,18,51,57,425.92,16,Home & Kitchen,3
CUST-0146,22,105,39,349.23,12,Sports & Outdoors,3
CUST-0147,43,70,53,346.7,11,Sports & Outdoors,2
CUST-0148,31,82,42,366.89,14,Sports & Outdoors,4
CUST-0149,56,144,58,473.84,10,Home & Kitchen,1
CUST-0150,44,77,39,357.35,8,Home & Kitchen,1
CUST-0151,26,77,14,229.85,13,Clothing,4
CUST-0152,32,105,95,564.95,15,Beauty,2
CUST-0153,32,68,5,164.25,8,Electronics,3
CUST-0154,43,89,35,352.73,8,Sports & Outdoors,1
CUST-0155,59,34,87,438.51,24,Clothing,5
CUST-0156,30,73,93,525.87,24,Electronics,5
CUST-0157,68,120,75,531.23,20,Clothing,4
CUST-0158,49,27,18,162.89,12,Home & Kitchen,2
CUST-0159,56,72,76,462.4,12,Sports & Outdoors,1
CUST-0160,66,79,9,199.15,5,Electronics,2
CUST-0161,69,127,74,520.21,14,Electronics,1
CUST-0162,49,24,58,272.83,19,Electronics,4
CUST-0163,21,122,17,306.53,13,Electronics,4
CUST-0164,47,25,7,62.51,10,Electronics,5
CUST-0165,54,128,46,425.31,11,Clothing,2
CUST-0166,40,135,13,293.48,10,Sports & Outdoors,5
CUST-0167,56,113,40,382.74,11,Home & Kitchen,2
CUST-0168,62,66,42,277.14,15,Home & Kitchen,5
CUST-0169,32,118,9,197.62,9,Home & Kitchen,3
CUST-0170,60,74,50,340.47,15,Home & Kitchen,3
CUST-0171,46,71,27,227.72,8,Clothing,3
CUST-0172,53,32,66,295.38,15,Beauty,3
CUST-0173,30,133,5,291.54,3,Sports & Outdoors,1
CUST-0174,49,143,29,422.74,10,Electronics,3
CUST-0175,24,125,37,354.19,14,Beauty,4
CUST-0176,68,139,38,400.63,12,Home & Kitchen,4
CUST-0177,39,82,83,479.17,12,Beauty,1
CUST-0178,45,38,8,117.63,12,Sports & Outdoors,3
CUST-0179,19,111,65,483.41,13,Electronics,3
CUST-0180,59,77,86,522.6,20,Electronics,3
CUST-0181,62,109,17,252.04,12,Sports & Outdoors,5
CUST-0182,23,136,71,525.14,14,Sports & Outdoors,2
CUST-0183,45,81,89,548.24,20,Home & Kitchen,5
CUST-0184,45,42,45,304.67,12,Electronics,2
CUST-0185,61,146,4,309.33,12,Beauty,3
CUST-0186,61,148,36,449.84,15,Clothing,3
CUST-0187,37,77,70,472.15,19,Clothing,5
CUST-0188,47,141,31,410.16,16,Sports & Outdoors,5
CUST-0189,28,20,19,156.55,7,Home & Kitchen,2
CUST-0190,45,53,61,349.83,15,Clothing,4
CUST-0191,42,115,54,430.8,15,Electronics,2
CUST-0192,56,145,39,399.67,17,Sports & Outdoors,5
CUST-0193,50,137,91,542.73,22,Beauty,5
CUST-0194,18,67,74,423.32,15,Sports & Outdoors,1
CUST-0195,44,108,90,564.73,22,Beauty,5
CUST-0196,69,136,19,308.58,8,Sports & Outdoors,1
CUST-0197,30,148,39,414.42,15,Sports & Outdoors,4
CUST-0198,58,35,67,352.48,12,Sports & Outdoors,2
CUST-0199,20,88,45,393.71,10,Beauty,2
CUST-0200,56,41,13,150.12,8,Beauty,1
